Notes,State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate
,District of Columbia,11,2017,2017,Female,F,93,364773,25.5
,District of Columbia,11,2017,2017,Male,M,194,329199,58.9
Total,District of Columbia,11,2017,2017,,,287,693972,41.4
,District of Columbia,11,2018,2018,Female,F,51,369148,13.8
,District of Columbia,11,2018,2018,Male,M,183,333307,54.9
Total,District of Columbia,11,2018,2018,,,234,702455,33.3
,District of Columbia,11,2019,2019,Female,F,78,371038,21
,District of Columbia,11,2019,2019,Male,M,210,334711,62.7
Total,District of Columbia,11,2019,2019,,,288,705749,40.8
,District of Columbia,11,2020,2020,Female,F,112,374884,29.9
,District of Columbia,11,2020,2020,Male,M,264,337932,78.1
Total,District of Columbia,11,2020,2020,,,376,712816,52.7
Total,District of Columbia,11,,,,,1708,5473732,31.2
,Florida,12,2013,2013,Female,F,575,9990213,5.8
,Florida,12,2013,2013,Male,M,932,9562647,9.7
Total,Florida,12,2013,2013,,,1507,19552860,7.7
,Florida,12,2014,2014,Female,F,598,10170011,5.9
,Florida,12,2014,2014,Male,M,1041,9723286,10.7
Total,Florida,12,2014,2014,,,1639,19893297,8.2
,Florida,12,2015,2015,Female,F,719,10368733,6.9
,Florida,12,2015,2015,Male,M,1405,9902539,14.2
Total,Florida,12,2015,2015,,,2124,20271272,10.5
,Florida,12,2016,2016,Female,F,997,10542288,9.5
,Florida,12,2016,2016,Male,M,2276,10070151,22.6
Total,Florida,12,2016,2016,,,3273,20612439,15.9
,Florida,12,2017,2017,Female,F,1168,10727581,10.9
,Florida,12,2017,2017,Male,M,2695,10256819,26.3
Total,Florida,12,2017,2017,,,3863,20984400,18.4
,Florida,12,2018,2018,Female,F,1214,10887548,11.2
,Florida,12,2018,2018,Male,M,2584,10411777,24.8
Total,Florida,12,2018,2018,,,3798,21299325,17.8
,Florida,12,2019,2019,Female,F,1306,10980681,11.9
,Florida,12,2019,2019,Male,M,3116,10497056,29.7
Total,Florida,12,2019,2019,,,4422,21477737,20.6
,Florida,12,2020,2020,Female,F,1737,11113132,15.6
,Florida,12,2020,2020,Male,M,4458,10620180,42
Total,Florida,12,2020,2020,,,6195,21733312,28.5
Total,Florida,12,,,,,26821,165824642,16.2
,Georgia,13,2013,2013,Female,F,248,5110806,4.9
,Georgia,13,2013,2013,Male,M,420,4881361,8.6
Total,Georgia,13,2013,2013,,,668,9992167,6.7
,Georgia,13,2014,2014,Female,F,317,5170356,6.1
,Georgia,13,2014,2014,Male,M,535,4926987,10.9
Total,Georgia,13,2014,2014,,,852,10097343,8.4
,Georgia,13,2015,2015,Female,F,414,5234978,7.9
,Georgia,13,2015,2015,Male,M,639,4979882,12.8
Total,Georgia,13,2015,2015,,,1053,10214860,10.3
,Georgia,13,2016,2016,Female,F,422,5289906,8
,Georgia,13,2016,2016,Male,M,728,5020465,14.5
Total,Georgia,13,2016,2016,,,1150,10310371,11.2
,Georgia,13,2017,2017,Female,F,463,5353872,8.6
,Georgia,13,2017,2017,Male,M,826,5075507,16.3
Total,Georgia,13,2017,2017,,,1289,10429379,12.4
,Georgia,13,2018,2018,Female,F,402,5404059,7.4
,Georgia,13,2018,2018,Male,M,771,5115416,15.1
Total,Georgia,13,2018,2018,,,1173,10519475,11.2
,Georgia,13,2019,2019,Female,F,405,5456999,7.4
,Georgia,13,2019,2019,Male,M,804,5160424,15.6
Total,Georgia,13,2019,2019,,,1209,10617423,11.4
,Georgia,13,2020,2020,Female,F,555,5508468,10.1
,Georgia,13,2020,2020,Male,M,1126,5201549,21.6
Total,Georgia,13,2020,2020,,,1681,10710017,15.7
Total,Georgia,13,,,,,9075,82891035,10.9
,Hawaii,15,2013,2013,Female,F,37,694440,5.3
,Hawaii,15,2013,2013,Male,M,80,709614,11.3
Total,Hawaii,15,2013,2013,,,117,1404054,8.3
,Hawaii,15,2014,2014,Female,F,33,701462,4.7
,Hawaii,15,2014,2014,Male,M,73,718099,10.2
Total,Hawaii,15,2014,2014,,,106,1419561,7.5
,Hawaii,15,2015,2015,Female,F,33,706231,4.7
,Hawaii,15,2015,2015,Male,M,100,725372,13.8
Total,Hawaii,15,2015,2015,,,133,1431603,9.3
,Hawaii,15,2016,2016,Female,F,49,710942,6.9
,Hawaii,15,2016,2016,Male,M,119,717615,16.6
Total,Hawaii,15,2016,2016,,,168,1428557,11.8
,Hawaii,15,2017,2017,Female,F,39,711451,5.5
,Hawaii,15,2017,2017,Male,M,113,716087,15.8
Total,Hawaii,15,2017,2017,,,152,1427538,10.6
,Hawaii,15,2018,2018,Female,F,45,709489,6.3
,Hawaii,15,2018,2018,Male,M,146,711002,20.5
Total,Hawaii,15,2018,2018,,,191,1420491,13.4
,Hawaii,15,2019,2019,Female,F,53,707832,7.5
,Hawaii,15,2019,2019,Male,M,158,708040,22.3
Total,Hawaii,15,2019,2019,,,211,1415872,14.9
,Hawaii,15,2020,2020,Female,F,60,702640,8.5
,Hawaii,15,2020,2020,Male,M,184,704366,26.1
Total,Hawaii,15,2020,2020,,,244,1407006,17.3
